0	77	75	72	77	73	74	77	73	74	77
0.005	NaN	NaN	NaN	NaN	2777	2925	2858	2777	2925	2858
0.01	3791	3746	4613	4873	4307	4461	4470	4307	4461	4470
0.015	NaN	NaN	NaN	NaN	6270	6448	6642	6270	6448	6642
0.02	7036	8938	8144	8560	7791	8024	8177	7791	8024	8177
0.025	NaN	NaN	NaN	NaN	9011	9571	9494	9011	9571	9494
0.03	10164	11739	10631	11033	10081	10554	10583	10081	10554	10583
0.035	NaN	NaN	NaN	NaN	11058	11497	10107	11058	11497	10107
0.04	10000	13519	12495	12830	11951	12289	12515	11951	12289	12515
0.045	NaN	NaN	NaN	NaN	12679	13103	13268	12679	13103	13268
0.05	12231	14863	13845	14176	13255	14185	13914	13255	14185	13914
